id,nomor_rekening,nama_lengkap,tanggal_transaksi,jumlah_debit,keterangan
116,3573671146439129,Jojo Nipper,2/13/2025,633994.61,Eco-friendly sealer for protecting concrete surfaces.
117,4913584207711053,Herbie Klyn,9/29/2024,939150.35,"Fresh and organic sweet potatoes, ideal for roasting."
118,5100134093132806,Reilly Jorcke,9/15/2024,456726.83,"A simple, no-bake cheesecake mix to create your own delicious cheesecake."
119,6763228465147198,Carmine Dines,2/18/2025,357493.38,Easy-to-heat frozen burritos for a quick meal.
120,3587970342773289,Kikelia Martelet,4/11/2025,56407.49,High-resolution camera for stunning photos.
121,4105132884164861,Wilbert Gloster,3/21/2025,430202.21,Color-changing LED lights for home decoration with remote.
122,3530428446868826,Meryl Putt,1/2/2025,940270.02,Magnetic puzzle assembly board for kids.
123,3562579110120182,Alasdair Luckes,7/5/2024,632157.48,Set of resistance bands for home workouts.
124,3583179305914666,Briant Ranscomb,1/14/2025,757798.39,Portable and lightweight umbrella for protection from rain.
125,5602210809454339,Paul Sweetzer,3/11/2025,333872.08,A fragrant Indian spice blend for curries and stews.
126,3536751045233066,Trixy Brushneen,1/30/2025,52346.17,Device that tracks soil moisture and provides care tips.
127,374283987484243,Cissiee Found,6/25/2024,68612.11,Fast and convenient air pump for inflating toys and furniture.
128,5602210869809174,Kipp Gery,6/12/2024,245132.61,"Organize travel documents, passport, and cards."
129,3583766195656389,Michaeline Storrier,9/5/2024,62997.19,Chewy snack bars with coconut and almonds coated in chocolate.
130,3540957053704641,Shurlocke Kite,11/13/2024,716965.11,Filters allergens and pollutants from the air for a healthier home.
131,3564291344493488,Parker Schneidar,9/4/2024,362703.86,"Roasted pistachios, a healthy and tasty snack."
132,3573032702614441,Lev Capun,2/17/2025,274698.9,Easy-to-make pancake mix with pumpkin spice flavor.
133,67612939731276646,Travus Roubottom,2/14/2025,440996.88,Relieve muscle tension and soreness with this foam roller.
134,5641828419804169298,Jack Musselwhite,6/30/2024,502420.6,Eco-friendly bamboo toothbrush for sustainable living.
135,560225353302387035,Hilde Igounet,6/9/2024,52919.95,Compact and portable projector for watching videos anywhere.
136,3573459779923720,Isahella Lavery,10/5/2024,997506.21,Stylish case with magnetic closure for smartphones.
137,3555865836760594,Brianna Hornung,4/12/2025,728557.51,Compact coffee grinder for fresh ground coffee beans.
138,670603382120707222,Else Couser,4/3/2025,5782.67,A delicious tart filled with fresh raspberry filling.
139,5100176885210407,Clarissa Vedenisov,5/21/2024,811443.64,Fun book filled with puzzles and games for kids.
140,3587031634779748,Lib Zisneros,5/25/2024,658816.25,Delicious plant-based burger made with organic black beans and spices.
141,3583433757490018,Jabez Fendlen,7/11/2024,174723.69,"Durable, unbreakable wine glasses for outdoor use."
142,3584711238642482,Georgia Tidcombe,4/8/2025,488307.93,Space-saving colander for rinsing fruits and vegetables.
143,30468830752500,Yetty Ludovici,12/19/2024,960149.88,"Fresh fruit salad, ready to eat and refreshing."
144,3564930085562676,Tilda Elphey,2/24/2025,168199.58,Set of reusable stainless steel straws for drinks.
145,3566668379045499,Burch Behning,7/25/2024,62020.49,Durable boots designed for outdoor hiking and activities.
146,3553065054032394,Trudie Walworche,7/12/2024,289913.43,A healthy mix of assorted dried fruits and nuts for snacking.
147,3573905255281595,Aeriell Kobes,2/19/2025,375535.25,Wi-Fi enabled doorbell with HD camera and two-way audio.
148,4026301928912488,Otto Plesing,9/6/2024,859537.42,Silicone oven mitts designed for safe cooking and baking.
149,30193074487585,Dulci Cyples,9/13/2024,841336.11,Corn on the cob seasoned with chili and lime for a spicy kick.
150,3539261054569795,Valentine Cabena,3/12/2025,41966.3,Compact yoga mat that folds for easy storage and transport.
151,3541645344268992,Teri Epilet,1/17/2025,223702.95,Rich basil pesto sauce for pasta and more.
152,3530015968113648,Leilah Dimnage,3/16/2025,738890.27,Set of decorative pillow covers to enhance your home decor.
153,490587908385400237,Kevan Lamberth,6/5/2024,509731.46,Space-saving colander for rinsing fruits and vegetables.
154,5418260639174742,Allina Govini,12/5/2024,311381.37,Crispy roasted chickpeas seasoned to perfection
155,3585637042872099,Myrtie Franzetti,6/3/2024,108619.14,Reusable whiteboard for notes and reminders with magnetic backing.
156,3547460097640429,Vannie Duggon,3/13/2025,172515.34,Stainless steel measuring spoons set for cooking.
157,4026703855995883,Shani Docksey,3/27/2025,109635.99,Crunchy and flavorful mix of oats and honey.
158,5007665100623331,Arlen Karoly,7/8/2024,414942.68,Essential tools for on-the-go bike maintenance.
159,3561567825876090,Arin Drew,8/10/2024,180382.66,"A smoky barbecue sauce, ideal for grilling and dipping."
160,3552366429354849,Bowie Riddles,11/25/2024,894339.65,Heavy-duty chain lock for securing bicycles.
161,4041595338013,Alvera Bidnall,11/4/2024,645345.61,Add a pop of color with this stylish patterned knit scarf.
162,6378509255884257,Gretal Sharnock,2/7/2025,814470.85,"Sweet and crisp apples, perfect for snacking."
163,5010123388077767,Bordie Albert,2/8/2025,341831.13,Compact pocket tool with various built-in functions.
164,3568993353488103,Porty Wagen,3/31/2025,515664.55,"Soft and pillowy gnocchi made from cauliflower, perfect with sauce."
165,6334221688684857,Marybelle Mollon,9/15/2024,907357.53,"Fresh and organic sweet potatoes, ideal for roasting."
166,5610625930511246,Drake Perri,3/30/2025,806622.83,Everything you need for maintaining a healthy beard.
167,3545352098231161,Osbourn Bulward,12/2/2024,121649.76,"A fresh salad made with black beans, corn, and a zesty dressing, great for summer cookouts."
168,4844587557450515,Brynne Pagitt,8/16/2024,142216.21,Spicy ginger cookies that are crunchy and delicious.
169,3569371318595933,Moise Pengelley,12/11/2024,246008.48,Savory sausage links seasoned with Italian spices.
170,4017956681282,Julietta Tourle,7/1/2024,326304.64,Fun lunchbox for kids with a sturdy design.
171,30127607468829,Karrah Angell,11/3/2024,297169.12,Seasoning mix for making crispy and flavorful potato wedges.
172,5002353028760858,Geralda Allman,4/6/2025,109604.13,1080p wireless security camera with night vision.
173,30025493671193,Lianna Stonhouse,2/22/2025,778652.45,Colorful bins to keep your space organized.
174,6393070836214341,Annamaria Manuelli,1/13/2025,207985.89,Instant oatmeal flavored with cranberries and orange zest for breakfast.
175,3556748738171335,Dolley Gamell,2/28/2025,764217.27,Compact fan for personal cooling at work or home.
176,5108755535850670,Saundra Whate,3/26/2025,404189.66,"A rich marinade perfect for meats and vegetables, infused with Italian herbs and balsamic vinegar."
177,5108750911871556,Feodor Veal,11/30/2024,333063.91,Functional leggings designed for maximum comfort during workouts.
178,4913486181169862,Adrienne Chadbourn,6/28/2024,679363.31,Versatile organic coconut oil for cooking and baking.
179,3542592941154176,Nikolaus Ternent,6/30/2024,234524.04,Bottle that allows you to infuse your water with fruits.
180,5335665772759986,Stearne Bahls,1/24/2025,616744.51,"A whole free-range chicken, ready for roasting."
181,3541745800231573,Katy Lisciardelli,5/23/2024,837397.48,Crunchy granola clusters mixed with nuts and honey.
182,3578164150831014,Dalis Stokoe,2/17/2025,777145.02,"Ready-to-eat salad with quinoa and kale, drizzled with vinaigrette."
183,6334496272529280243,Dun Godson,10/21/2024,430166.5,Designed for comfort and performance during workouts.
184,3568314019753949,Bondy Lattos,1/8/2025,653227.83,"A mix of fresh raspberries, blueberries, and blackberries."
185,67713259241353266,Dav Dossettor,2/12/2025,791830.69,Comfortable pet carrier for travel and vet visits.
186,3545757424808294,Cy Mostin,3/3/2025,729766.57,Foldable kneeler that doubles as a seat for gardening convenience.
187,3588900974147915,Camala McCready,9/18/2024,3971.45,BPA-free sports bottle with flip-top lid.
188,560225089508686354,Sebastian MacRury,2/6/2025,53520.13,Adjustable shelving unit for home or garage storage.
189,3578876793458174,Beverly Blincoe,12/24/2024,587830.74,Soft silicone earbud covers for comfort and fit.
190,4026031666178972,Lorrie Standbrook,9/16/2024,796619.37,Mini refrigerator ideal for small spaces.
191,5250431366218504,Rowan Crawshaw,6/11/2024,844013.37,Effective brush for removing loose hair from pets.
192,5893577899182782,Britta Jonas,7/21/2024,863109.71,Effective laundry detergent for a deep clean.
193,630405947070125866,Carie Hylden,12/16/2024,951122.81,Bold graphic hoodie featuring a comfortable fit and soft fabric.
194,4917424825889179,Mahalia Gartell,5/19/2024,862625.45,Rich and sweet paprika spice for seasoning.
195,3562594953095896,Bertie Espinel,8/3/2024,759775.24,Grilled chicken skewers glazed with teriyaki sauce.
196,4143114268757803,Merrick Bickmore,11/7/2024,530576.33,Stackable measuring cups made from stainless steel.
197,3560134326324657,Davine Grigolashvill,4/22/2025,272204.62,Set of flexible molds for baking cakes and pastries.
198,3585650702272534,Doy Bukac,7/27/2024,226618.51,Travel-friendly dog bowl that is collapsible for easy storage.
199,3577166884026804,Annadiana Mulhall,5/15/2024,54002.09,A mix of frozen berries for smoothies or desserts
200,3568135957154711,Frederich Genny,3/13/2025,259606.38,High-intensity flashlight with adjustable focus and brightness.
201,5038394155821384,Frederico Tosh,5/8/2025,432242.35,Eco-friendly bags for storing food without plastic waste.
202,6333224173432916,Loria Smout,1/12/2025,495118.62,Eco-friendly power bank that charges via sunlight.
203,5602258308574479,Sax Reichert,10/10/2024,356554.69,"Farm fresh eggs, essential for breakfast."
204,3576909544855216,Meier Gawke,7/19/2024,906380.01,Tool to check car engine codes and performance issues.
205,3552045748945236,Freddie Proby,11/9/2024,157383.6,Creamy soup full of rich mushroom flavor.
206,5205228955786727,Julita Moral,7/20/2024,475218.73,"Flavored couscous with herbs and spices, perfect as a side dish or a base for salads."
207,3531764227059618,Nolly Caddock,10/20/2024,979522.91,Make delicious ice cream at home with this user-friendly machine.
208,5108755144042883,Merry Beardall,12/8/2024,795112.13,"Crunchy, seasoned chickpeas for a wholesome snack."
209,30352192592060,Adair Mellonby,1/6/2025,106303.56,Frozen mini meatballs that are great as a snack or in pasta dishes.
210,374559167059958,Alex Mc Corley,9/27/2024,101952.66,Set of stylish throw pillows for home decor.
211,30002257748780,Des Faro,8/27/2024,438842.85,Control lights remotely with this smart switch.
212,3540672395037556,Adore Scoines,11/10/2024,804146.32,Compact hose reel to keep your garden tidy.
213,372301055075677,Naoma Conichie,6/9/2024,733768.84,Creamy almond butter sweetened with maple syrup for a delicious spread.
214,4017959444510341,Lisle Fadell,12/20/2024,509365.52,Crispy and delicious biscotti flavored with cranberry and almond.
215,3549229882933283,Marisa Toffaloni,7/12/2024,218360.82,Comfortable pet bed for small to medium-sized dogs.
216,630479390205771901,Celine Richt,8/11/2024,28750.97,Reusable suction cup hooks for hanging items.
217,3564047808112869,Lorilee Ganley,7/31/2024,741210.52,Seasoning mix for making crispy and flavorful potato wedges.
218,4911099743369151,Eachelle Fairbank,1/20/2025,527574.22,Automated cleaning robot for hassle-free home maintenance.
219,3534674078731057,Nicoline Leband,12/8/2024,479710.82,Space-saving bike for indoor workouts.
220,201991652189058,Monty Maynard,8/23/2024,966670.45,Shredded cabbage and carrots for coleslaw.
221,3531851384390371,Alva Brunnen,10/10/2024,764641.3,A blend of dried Italian herbs for cooking.
222,5048374012616209,Brooke Johanssen,3/11/2025,395557.73,Crispy breadsticks seasoned with herbs and garlic.
223,3575242576631367,Woodrow Shernock,10/3/2024,34175.03,"Sweet and salty popcorn with sea salt and caramel, a tasty treat."
224,3536444708195273,Mab McBratney,9/12/2024,970905.61,"Synthetic crab meat sticks, great for salads and sushi."
225,5048378519946381,Ariella Coleshill,11/17/2024,735052.63,Durable yoga strap for deeper stretches.
226,3581226413611114,Chuck O'Duggan,12/25/2024,78107.76,Fresh mango salsa with a hint of lime for a zesty topping.
227,060493570062474358,Keriann Whorf,1/4/2025,320029.49,True wireless earbuds with excellent sound quality.
228,3573913922293027,Karoline Mitcham,8/2/2024,79038.23,Manual pasta maker for homemade pasta.
229,3564298382277277,Ashil Walkden,9/8/2024,434950.99,Water bottle that tracks hydration levels and adds electrolytes.
230,3539345271703434,Alfred Whal,2/3/2025,238922.67,Classic wooden puzzle game for kids and adults.
231,4041376896221,Virge Yearron,7/30/2024,933850.98,"Crispy chicken bites, perfect for dipping."
232,4903590647255892,Courtnay Bedingfield,11/23/2024,735051.56,Easy-to-set up tent designed for campers and hikers.
233,3562076992286116,Lorilyn MacCaughey,5/6/2025,330456.25,"Ready-to-eat chia seed pudding made with coconut milk, perfect for breakfast or dessert."
234,490523979213181395,Suzann Foad,6/7/2024,863058.04,Microwaveable heating pad for muscle pain relief and relaxation.
235,3558954054861297,Darlene Osgerby,11/28/2024,185613.78,A flavorful sauce made with coconut milk and spices.
236,3586800074505834,Shandie Trathen,10/9/2024,316488.45,Trendy high-top canvas sneakers for a stylish streetwear look.
237,4026543503907355,Paddie Eteen,3/27/2025,985823.41,Instant oatmeal flavored with cranberries and orange zest for breakfast.
238,5292401323420832,Cathy Perrett,8/19/2024,280206.81,Compact laundry bag for travel use.
239,675948255035053762,Marlin Skeats,8/17/2024,923219.57,Planter with self-watering feature for easy plant care.
240,4911313479607357,Sheela Pulsford,12/23/2024,355158.91,All-in-one art set for kids to unleash creativity.
241,560223311282189021,Jon Marrion,1/13/2025,70284.08,Bottle with infuser for brewing loose-leaf tea on the go.
242,3588498618533061,Ban Sammon,9/8/2024,9832.76,Crunchy corn chips flavored with chili and lime for a zesty kick.
243,3581071993121526,Nanny Staining,8/21/2024,869064.81,Elegant cover that protects your notebook with style.
244,3559753826085162,Lamont Curtis,5/9/2025,838438.01,Fun and colorful wall decals for children's rooms.
245,3540815241361692,Earl Clarke,8/11/2024,414288.52,Chic wrap jumpsuit that flatters the body and is perfect for any occasion.
246,3547165997566869,Vannie McFadyen,6/3/2024,104635.51,Complete set for mixing cocktails at home.
247,3546042435917809,Colver Putt,12/8/2024,257842.23,Handy keychain that emits a loud alarm for personal safety.
248,5525076027951347,Lothario Jaggli,1/17/2025,481768.12,Juicy and tender boneless chicken breasts.
249,3583014233064609,Bianca Abbess,10/16/2024,955566.32,Citrusy lemons perfect for drinks and cooking.
250,5610009944553636136,Kristofer Gribben,6/19/2024,218950.65,"Lightly salted frozen edamame, a protein-packed snack."
251,5602249265944078,Kristal Ellgood,5/10/2025,463222.79,"A blend of roasted red peppers and spices, perfect for dipping."
252,5517854330610499,Kellen Josefowicz,11/29/2024,882531.12,Just add water for a quick pasta sauce.
253,3583739554061905,Budd Devonside,10/28/2024,627167.04,A warm and stylish puffer coat perfect for winter weather.
254,4917663353275059,Padgett Horsburgh,6/21/2024,280077.71,A refreshing blend of peaches and mangoes for a delicious smoothie.
255,6375107251013469,Kizzee Kilfeder,7/13/2024,910093.24,Oversized gaming mousepad with smooth surface.
256,5582873981975043,Terence Skelington,5/2/2025,58579.26,"Creamy, dairy-free Alfredo sauce"
257,30577388886138,Bank Garrold,3/29/2025,207793.13,Compact hand mixer for easy baking.
258,3564929309909101,Cart Tomini,6/21/2024,265146.54,Roasted almonds coated in a sweet maple and cinnamon mixture.
259,3588703549394164,Ilse Lys,12/26/2024,61954.32,Spicy chili powder to add heat to dishes.
260,06045579590171630,Reidar Sagar,11/27/2024,776325.16,Instant mix for delicious pumpkin spice lattes at home.
261,3538701294847668,Audrie Harling,8/24/2024,456098.08,Eco-friendly bamboo cutting board for food prep.
262,348858739753418,Tamas Ballintime,3/10/2025,991402.39,Crispy dill pickles that are perfect for snacking or sandwiches.
263,3529166166798772,Norbert Levesley,9/11/2024,372498.1,Fresh organic blueberries perfect for snacking or baking.
264,5185444854608953,Timotheus Andraud,6/11/2024,422669.61,"Ready-to-eat avocado slices, perfect for tacos."
265,633489367672173987,Matt Hanscomb,7/8/2024,441559.58,Portable folding camping chair with cup holder.
266,3549896013050094,Stanford Brunning,8/25/2024,112048.79,Dried tomatoes packed with deep flavor for salads and pasta.
267,3563607232586466,Vernice Ridger,8/27/2024,678184.34,"A sweet and spicy sauce, great for dipping or cooking."
268,3555390033329374,Frederique Burndred,10/24/2024,609610.29,Compact camp stove for outdoor cooking.
269,6331108518135018518,Jeth Gauche,7/24/2024,379384.53,Silicone oven mitts for safe handling of hot cookware.
