id,nomor_rekening,nama_lengkap,tanggal_transaksi,jumlah_debit,keterangan
98,3552212159298865,Aila Bedding,7/29/2024,102660.1,Refreshing sparkling water with lemon and lime flavor
99,6759240402076841744,Eadith Benoy,8/6/2024,170062.26,Variety of bands suitable for all fitness levels.
100,67620485153842556,Sande Trevan,6/13/2024,749789.25,Relaxing paint kit with pre-printed canvas for painting.
101,3558640119088345,Roxine Froome,4/14/2025,300419.42,Qi-certified wireless charger for fast charging.
102,3568577810265384,John MacAlpin,10/26/2024,858602.66,Extra soft electric blanket with adjustable heat settings.
103,5502584789665309,Zorine Cosyns,10/4/2024,464262.18,Bright flashlight with rechargeable batteries included.
104,56022414969620649,Alie Birkenshaw,7/28/2024,83509.89,A pack of assorted nut and protein bars for a quick energy boost.
105,3576531357707118,Angelica Nibley,10/28/2024,485350.61,Compact and portable projector for watching videos anywhere.
106,4913013867287980,Derick Coggles,11/28/2024,644765.88,Protective gaiters to keep dirt and debris out of shoes during hikes.
107,3535372174372376,Margret Chisholm,10/21/2024,974319.17,Instant-read thermometer for precise cooking temperatures.
108,201631695629534,Scotti Chellam,12/31/2024,436556.07,Protective gaiters to keep dirt and debris out of shoes during hikes.
109,676704140412672545,Mallory Zanre,4/18/2025,215063.27,"Natural mineral salt with a subtle flavor, ideal for cooking and seasoning."
110,5412819350167130,Lindsay Cashford,11/30/2024,952323.07,Rich and creamy Caesar dressing for salads and wraps.
111,5137497496498992,Zebadiah Whisson,1/23/2025,688199.88,Decadent tart made with rich dark chocolate.
112,67638589934958183,Celie Bantham,12/21/2024,616630.83,"Frozen sausage patties made with herbs and spices, perfect for breakfast sandwiches."
113,5602245269929021362,Cristi Tupie,10/7/2024,977910.53,"Authentic Italian pasta, perfect for a classic meal."
114,3542751004695497,Zacharia Watsham,11/23/2024,547517.25,Delicious recipes focusing on plant-based ingredients.
115,4026806521285769,Rosie Kehir,12/22/2024,981348.4,Cordless vacuum cleaner for quick clean-ups.
116,3541793949142061,Saunder Djorevic,11/4/2024,277083.48,Crispy and sweet dried apple slices
117,30481778394631,Kevon Annies,4/16/2025,969114.13,Inflatable air mattress for convenient sleeping.
118,30144486518814,Arley Bridel,11/11/2024,422357.45,A flowy maxi dress perfect for both casual and semi-formal occasions.
119,3555544284151149,Garrik Garment,11/17/2024,244369.99,Lightweight and portable chair for camping or events.
120,4041378622767823,Rozella Antecki,3/18/2025,714413.89,"Refreshing coconut water, perfect for hydration."
121,501858489710599064,Alma McCrisken,7/7/2024,80493.82,High-quality matcha for making traditional tea or lattes.
122,3556686620275253,Federico Mulvihill,7/14/2024,723974.56,Perfectly designed pan for making crepes and pancakes.
123,561078940876178430,Gabbi Camplin,9/14/2024,632937.4,GPS pet collar that helps locate your pet via smartphone app.
124,3577551237478119,Finn Orsman,2/6/2025,416046.2,Warm and stylish jacket for cold weather.
125,676251458019554933,Latrina Gatchel,7/12/2024,91851.35,Comprehensive tool set for gardening enthusiasts.
126,3579029944090319,Mart Ricciardiello,10/18/2024,490504.21,"Couscous salad with cucumbers, tomatoes, feta, and olives, ready to eat."
127,4017958852743923,My Nicklen,8/28/2024,103479.5,Dried tomatoes packed with deep flavor for salads and pasta.
128,5020140076758827426,Hermon Babbs,3/29/2025,19816.91,"Freshly cut carrot sticks, perfect for snacking."
129,30274779831580,Carri Hinnerk,7/16/2024,465627.34,Marinated chicken breasts coated in a sweet honey mustard glaze.
130,5241362269082741,Berkly Shannon,8/30/2024,601032.84,Electric foot massager for relaxation and relief.
131,6709028582705085467,Elbertina Jacobsz,5/3/2025,92257.46,"Pasta tossed with fresh basil pesto, simple and delicious."
132,5610079744695862,Benita Keilloh,2/15/2025,182495.54,Rich vegetable broth for soups and stews.
133,3553309037208113,Saidee Jindra,3/23/2025,564281.88,Adjustable LED desk light with brightness settings.
134,3583479911718844,Bronnie Lannen,4/28/2025,78415.22,Rechargeable LED lantern ideal for camping and outdoor activities.
135,5530279428252538,Cullen Crank,12/24/2024,814613.47,Weighted jump rope that counts jumps and calories burned.
136,3538897382574501,Bancroft Shawcross,4/22/2025,616783.46,Versatile chair that easily folds up for carrying.
137,3571141211993196,Merrile Linham,6/16/2024,996578.61,"Healthy, crunchy kale chips, a nutritious snack."
138,3548893094986032,Zsazsa Overbury,9/18/2024,247950.42,High-frequency whistle for training your dog effectively.
139,56022230332767754,Josi Fairlamb,10/31/2024,484381.76,Fresh sliced bell peppers for salads or stir-fries.
140,3538028116920188,Baron McCole,1/11/2025,231817.38,"Versatile slicer for meats, cheeses, and vegetables."
141,3570980790224320,Rena Rodinger,2/4/2025,304016.35,Lightweight and slim monitor ideal for dual-screen setups.
142,3534238175670590,Sile Mully,5/5/2025,200859.59,Refreshing sparkling water infused with cranberry and lime flavors.
143,6706377081266913533,Winnah Farnes,12/18/2024,676790.82,"A sweet and spicy sauce, great for dipping or cooking."
144,4936604275303352,Kittie Kentwell,10/18/2024,951102.84,Collapsible dish rack for kitchen countertop use.
145,67616498500706883,Brenden Aughton,7/27/2024,398111.64,Refreshing coconut water packed with electrolytes for hydration.
146,5108757137635947,Ariela Duchant,11/22/2024,810893.8,Spicy salsa made with fresh ingredients.
147,675946241436184861,Annabelle Feltoe,7/24/2024,791812.45,Compact food processor for quick meal prep.
148,5048378512083117,Alfie Methven,11/25/2024,533810.66,Fresh salsa made with pineapple and spices
149,30313318602746,Sybyl Warmisham,4/18/2025,35787.58,"High in protein, perfect for soups and stews."
150,30247003778116,Shirlee Bushel,7/15/2024,24299.49,Portable solar charger for outdoor adventures.
151,4917704722816056,Genovera Sparshett,3/9/2025,122757.24,Durable gloves with built-in claws for digging and planting.
152,5172662828664902,Tonya Wallage,7/3/2024,986907.73,"Deliciously creamy almond milk, perfect for smoothies."
153,3549181650181472,Nerte Duncan,8/5/2024,591659.51,"A frozen cheesy bake made with cauliflower, great as a side dish or a vegetarian meal."
154,3546757512858119,Thaxter McMearty,1/14/2025,845326.75,A fitted ribbed knit dress that hugs your curves perfectly.
155,3585409816687750,Ailee Blabber,7/30/2024,927479.0,Spicy buffalo sauce ideal for wings or dipping.
156,201528090041465,Jackson Basindale,2/21/2025,406139.96,"Canned chickpeas, perfect for hummus or salads."
157,4041599932093192,Sayer Conneau,10/4/2024,980315.61,Nutritious and quick-cooking red lentils.
158,4844485274673941,Karleen Pinxton,11/16/2024,551455.65,Stylish and functional backpack for school or trips.
159,374283263049447,Debora Baglin,7/21/2024,511609.07,Light and fluffy popcorn coated in sweet honey butter.
160,374283124724444,Kelby Rammell,11/12/2024,351774.48,"Reusable wraps for food storage, replacing plastic wraps."
161,5100130277159391,Francisca Howling,11/6/2024,796422.47,Non-stick and reusable mats for easy baking.
162,3581189690108529,Nobe Creegan,5/1/2025,192799.51,A seasonal creamer that adds pumpkin spice flavor to coffee or tea.
163,6304158110228299,Deena Ida,7/14/2024,394582.61,UV-blocking clothing for outdoor activities.
164,6762900035278536,Cindie Colbeck,2/27/2025,735575.07,Stylish desk set to keep your workspace tidy and organized.
165,3540016989701039,Becca Jedrzaszkiewicz,6/25/2024,1026.81,A versatile black dress that can be styled for any occasion.
166,6374684044513709,Gordan Paudin,12/11/2024,464598.94,Spicy and tangy chili sauce for adding heat to any dish.
167,3585668252818969,Marijo Knevett,1/30/2025,978964.35,"Ready-to-eat beet salad with dressing, great side dish."
168,5108753369729615,Preston Viant,6/25/2024,785706.95,Durable and insulated water bottle to keep beverages cold.
169,4936243108659767841,Yolande Braunston,12/11/2024,124511.35,Automatic can opener for easy meal prep.
170,5602212255430004293,Suzie Gambell,8/23/2024,491843.65,A trendy cropped sweater perfect for a casual look.
171,5108753579032784,Ernst Swane,12/17/2024,658486.29,Stay warm with this stylish knit beanie in various colors.
172,3532450153092653,Myron Reinhart,11/2/2024,247076.01,Sweet mixture of cinnamon and sugar for sprinkling.
173,342881384395240,Carrol Millhouse,12/31/2024,81552.58,Healthy frozen acai bowl with toppings.
174,4636515482617,Monah Witherington,8/5/2024,666076.28,Essential ingredient for baking and cooking.
175,3538637631077181,Sharl Currey,12/12/2024,23206.2,Fun and colorful wall decals for children's rooms.
176,5114934715358844,Madonna Eaddy,7/29/2024,248033.17,Foam yoga block for enhancing poses and stability.
177,4913434222936691,Friederike Skpsey,8/6/2024,56603.47,"Fresh seedless red grapes, perfect for snacking."
178,3560299595076732,Odelle Christall,8/21/2024,557465.34,Versatile organic coconut oil for cooking and baking.
179,4041599206711,Hazel Pessler,5/16/2024,842658.12,"Creamy and smooth peanut butter, perfect for sandwiches."
180,3535023570019026,Melly Hicklingbottom,6/21/2024,436245.75,"Creamy dip made with real onions and spices, great for chips and veggies."
181,4844349938369512,Cully Mahoney,4/6/2025,668079.56,Eco-friendly electric bike with a 30-mile range.
182,5119507603804460,Erwin Dibner,10/28/2024,392476.83,Delicious canned pineapple rings for desserts or salads.
183,3572911837606029,Casey Martinuzzi,4/22/2025,810729.99,Sweet and tangy mango chutney for a flavorful dip.
184,3544551865387012,Rowan Rudeforth,7/4/2024,27055.41,Timeless analog watch with a leather strap.
185,3533086727604992,Kiri Conichie,5/3/2025,476232.15,Creamy chickpea dip infused with zesty garlic flavor.
186,4844524971085627,Corina Stredder,4/10/2025,817631.27,"Crispy fries tossed in truffle oil and parmesan, a gourmet snack."
187,3566538985725414,Marilee Hoodlass,1/26/2025,468482.41,Chewy snack bars with coconut and almonds coated in chocolate.
188,3568026595817829,Lurlene Minghi,1/13/2025,308176.56,Fashionable wide-leg trousers for a chic silhouette.
189,201779414141321,Kaylyn Mose,3/14/2025,323495.17,Delicious plant-based burger made with organic black beans and spices.
190,6759798834488024,Nelle Cheson,11/9/2024,694374.48,Adjustable stand for portable speakers and devices.
191,3579870536208060,Heindrick Dingivan,1/12/2025,516144.19,"Soft and warm corn tortillas, perfect for tacos and burritos."
192,5284001031493640,Tad Stanlack,10/8/2024,545081.61,"Deliciously smoked salmon, great for bagels."
193,3531029414453085,Rycca Braksper,11/15/2024,507043.64,Durable skipping rope with adjustable length for workouts.
194,3583833982324363,Merv Josephs,11/28/2024,136925.49,Fun gardening tools designed specifically for kids.
195,3534223706958607,Allie Chappelle,6/25/2024,651924.74,Rich almond butter encased in dark chocolate.
196,3554844294677120,Ed Le Breton,6/21/2024,241194.49,Compact knife with safety lock for everyday use.
197,3577525153039592,Ursulina Vasyunin,11/23/2024,147876.95,Bluetooth thermometer that alerts you when your meat is done.
198,36059689646515,Stephan Benford,6/25/2024,284496.34,Efficient juicer for fresh fruit and vegetable juices.
199,3563174527735183,Bev Sclanders,2/19/2025,929457.08,Delicious bacon with a rich applewood smoked flavor.
200,201452951528710,Jonathan Chetter,2/6/2025,923540.09,Tangy salsa made from tomatillos and peppers.
201,3534699548541570,Alejoa Glenister,3/4/2025,514419.45,True wireless earbuds with touch control.
202,3540369403021363,Ruthann Heino,11/28/2024,115551.09,Wi-Fi-enabled digital frame for displaying photos.
203,4508059707282500,Elsworth Bernadzki,6/11/2024,788726.57,Rich and creamy Caesar dressing for salads and wraps.
204,63041794156649706,Philippa Scatcher,8/18/2024,523584.5,"Sweet blackberry compote, perfect for topping desserts."
205,5463385984899983,Meghan Sirmon,12/17/2024,152130.41,Oatmeal made with savory spices and vegetables.
206,4026392061119676,Olvan Radford,5/16/2024,127193.87,Spicy chili sauce with garlic and sugar for a flavor kick.
207,3581413763186455,Valentia Whitwood,4/30/2025,61431.71,Automatic water fountain for pets with filtration.
208,5413806473569838,Tasia Leggen,2/6/2025,915645.14,Heat-sensitive mug that changes color when filled with hot liquid.
209,3560661061252370,Cordula Audsley,1/5/2025,510118.71,Cordless electric screwdriver for home projects.
210,201635968386599,Corabel Elger,7/21/2024,922349.58,"Freshly baked whole wheat bread, rich in fiber."
211,3574803623264063,Nickolas Stilliard,2/2/2025,610495.6,Comfortable and warm leggings perfect for colder weather.
212,3583444767276602,Goran Maris,12/14/2024,151412.92,Elegant tea set that includes an infuser for brewing.
213,3572210092786414,Tonie Chomicki,1/13/2025,996502.5,No-bake energy bites made with peanut butter and oats.
214,3577437799935029,Florry Early,1/27/2025,89272.39,Creamy yogurt made with maple and almond flavors.
215,5292966123881318,Judi Thaxton,6/18/2024,449942.18,Multi-level scratching post to keep your cat entertained.
216,5048375451334022,Christine Andrys,3/29/2025,173435.87,Roasted chickpeas seasoned for a crunchy snack.
217,3578617834882588,Mirella Bielefeld,1/8/2025,232835.49,Savory roasted garlic in a jar for easy use.
218,4913068901274782,Selle Josipovitz,1/21/2025,36581.21,"Delicious turkey bacon, a healthier alternative."
219,3529307598970635,Orren Azam,1/2/2025,930369.43,A light and breezy top ideal for warm days.
220,4405673610249242,Claudell Roseburgh,6/20/2024,11180.32,Convenient carrier for transporting yoga mat.
221,6392075508779357,Joye Barhams,7/14/2024,910896.15,Comprehensive camera and alert system for home security.
222,6331105990354887191,Archibold Herkess,7/22/2024,957254.88,"Easy-to-prepare rice with cilantro and lime flavors, great as a side."
223,5210405812548598,Pammie des Remedios,3/31/2025,186435.22,Rich and creamy milk perfect for baking or desserts.
224,5108755046395629,Niles Parrin,3/3/2025,654198.05,Journal to record workouts and nutrition.
225,3548921146738844,Amii Teasdale,3/10/2025,966996.93,Indoor putting green for practicing your putting skills.
226,5100136692780968,Dania Gouck,1/12/2025,339555.16,"Soft and fresh sliced bread, perfect for sandwiches."
227,5574371424915064,Portie Fielder,2/6/2025,588495.48,High-quality olive oil infused with fresh lemon zest.
228,5100133623190359,Antonin Cornick,12/9/2024,36106.66,Manual blender for smoothies and mixing ingredients on the go.
229,5447328290160667,Ottilie Phette,8/21/2024,327713.25,Nutritious and hearty pasta made from whole wheat flour.
230,5100179010091239,Murry Buckle,6/11/2024,461899.01,Whole grain oats that are perfect for breakfast or baking.
231,67716224278196134,Wade Neilly,4/21/2025,871882.17,Timeless black trousers for a smart and sophisticated look.
232,5020518856467254812,Cathryn Cannon,9/19/2024,267791.07,"Chewy cookies made with coconut, perfect for sweet cravings."
233,201694910017265,Allx Fairfull,7/3/2024,465395.79,Eco-friendly cutting board that is safe for dishwashers.
234,3538160885193422,Rosetta Rew,10/9/2024,132928.16,"Fluffy quinoa mixed with lemon zest and herbs, a perfect side."
235,6771542691992751371,Morlee Rivard,1/6/2025,742106.8,Quick and easy side dish with buttery flavor.
236,6304466259949918,Marcy Yashin,8/4/2024,805705.39,Battery-operated blender for smoothies on the go.
237,3544924568064107,Colin Gannicleff,9/11/2024,471285.9,Classic cereal made with whole grains and honey.
238,3534292303585600,Tucky Philippart,8/28/2024,595229.93,"A fluffy pancake mix infused with maple and pecans, perfect for a hearty breakfast."
239,3568889263839742,Sholom Dillingstone,5/24/2024,467911.04,Retro instant camera for capturing and printing photos instantly.
240,6759195356057099,Dawn Caulder,8/20/2024,604118.01,Microwaveable heat pad for soothing muscle aches.
241,3584397093622056,Whit Collaton,2/28/2025,26679.83,"Versatile air fryer that also roasts, bakes, and broils."
242,3545180352195230,Oralia Ranklin,10/18/2024,408292.13,A crunchy blend of nuts and pretzels with a spicy kick.
243,5048373307658090,Daveen Gummary,4/7/2025,216975.52,Luxurious satin slip dress for an elegant evening look.
244,5478206655979651,Tatiana Peggs,8/31/2024,928153.93,Cordless handheld vacuum for quick cleanups.
245,3553134988933182,Jemmy Haggleton,5/16/2024,726511.28,Savory sauce for vegetable and meat stir-fries.
246,670633027243236021,Emelita Agastina,5/11/2025,991259.88,Tender beef chunks for slow-cooked stews.
247,3565901272696303,Roxie Eddie,4/27/2025,433477.91,Assorted collection of herbal teas for relaxation and wellness.
248,3528355213523314,Mikkel Hamelyn,8/9/2024,189644.56,Creamy vegan mac and cheese made with cashew cheese.
249,6762590992960729,Fania Nunnerley,8/24/2024,57009.07,Unsweetened coconut flakes for baking and snacking.
250,560221552691558635,Juliana Cairns,11/13/2024,946981.21,Fresh salsa made with pineapple and spices
251,6759971644996555574,Carla Ivanichev,12/5/2024,775504.55,"Supportive sports bra designed for high-impact workouts, made with moisture-wicking fabric."
252,3578491176876990,Juliana Janusik,12/20/2024,32356.28,Delicious veggie burger patties for grilling or frying.
253,30133491424225,Genna Blodget,9/23/2024,698892.26,"Sweet and nutritious potatoes, great for roasting."
254,67627005413201519,Phylys Noe,6/15/2024,575960.2,Adjustable stand for portable speakers and devices.
255,3531083692755042,Lexie Lievesley,7/29/2024,636720.0,Chocolate-covered candy bars with coconut and almonds.
256,3560717541579020,Theresita Licciardo,5/11/2025,973159.89,Frozen mini meatballs that are great as a snack or in pasta dishes.
257,36228457270606,Fancie Andreutti,7/3/2024,96769.73,"Traditional Korean fermented vegetables, packed with flavor."
258,201524691965053,Corbett Stollmeier,10/17/2024,241239.49,Comfortable eye mask that includes noise-canceling ear plugs.
259,6759335073024473,Virginia Snarie,5/3/2025,477671.93,Spicy sauce perfect for chicken wings and dipping.
260,3534225351901170,Loise MacCrossan,11/21/2024,801099.97,Delicious and tangy marinade for grilling or baking chicken.
261,560221974337363487,Gaultiero Varndall,3/30/2025,619724.15,"Fruits dipped in rich chocolate, perfect for desserts."
262,3575684279204317,Marco Skull,12/3/2024,270543.69,Planters with a self-watering feature for easy care.
263,4508851133881289,Spencer Bibey,9/26/2024,741045.33,Wireless earbuds designed for immersive sound experience.
264,560222019070604769,Crin Malec,6/7/2024,988517.69,Beautifully crafted jewelry box with compartments for storage.
265,372301531077529,Prescott Bourdon,3/12/2025,250664.03,"Soothing tea with honey and ginger, great for relaxation."
